"rid","fromnode","tonode"
1,1,2
2,3,4
3,5,6
4,6,7
5,8,5
6,9,8
7,10,9
8,11,10
9,12,11
10,13,14
11,15,12
12,14,16
13,16,15
14,17,13
15,18,17
16,19,18
17,20,19
18,21,20
19,22,21
20,23,24
21,25,26
22,27,22
23,24,27
24,26,23
25,28,5
26,29,28
27,30,29
28,31,32
29,32,30
30,33,34
31,35,31
32,34,35
33,36,33
34,37,36
35,38,37
36,39,40
37,41,39
38,42,41
39,43,42
40,44,43
41,45,44
42,46,47
43,47,45
44,48,46
45,49,48
46,50,51
47,51,52
48,52,49
49,53,50
50,54,55
51,55,53
52,56,54
53,57,56
54,58,57
55,7,59
56,59,60
57,60,58
58,61,7
59,62,61
60,63,62
61,64,63
62,65,64
63,66,65
64,67,66
65,68,67
66,69,68
67,70,69
68,71,72
69,73,70
70,72,73
71,74,71
72,75,74
73,76,75
74,77,76
75,78,77
76,79,78
77,80,79
78,81,80
79,82,83
80,84,85
81,85,82
82,86,84
83,87,88
84,88,86
85,89,87
86,90,89
87,91,90
88,92,91
89,93,92
90,94,82
91,95,94
92,96,97
93,98,96
94,97,95
95,99,98
96,100,101
97,101,102
98,102,99
99,103,104
100,105,103
101,106,105
102,107,108
103,109,106
104,108,109
105,110,111
106,112,113
107,114,112
108,115,114
109,116,115
110,117,116
111,118,117
112,119,118
113,120,119
114,121,120
115,122,121
116,123,122
117,124,123
118,125,124
119,126,125
120,127,126
121,128,127
122,129,128
123,130,129
124,131,130
125,132,131
126,133,132
127,134,133
128,135,134
129,136,135
130,137,136
131,138,137
132,139,138
133,140,139
134,141,140
135,142,141
136,143,142
137,144,145
138,146,144
139,147,146
140,148,146
141,149,148
142,150,149
143,151,150
144,152,151
145,153,152
146,154,153
147,155,154
148,156,155
149,157,156
150,158,152
151,159,158
152,160,159
153,161,160
154,162,161
155,163,162
156,164,163
157,165,164
158,166,165
159,167,168
160,169,170
161,171,166
162,168,169
163,170,172
164,172,171
165,173,124
166,174,173
167,175,174
168,176,175
169,177,176
170,178,177
171,179,178
172,180,179
173,181,180
174,182,181
175,183,182
176,184,185
177,185,186
178,186,183
179,187,188
180,189,187
181,190,189
182,191,190
183,192,191
184,193,192
185,194,195
186,196,194
187,197,196
188,198,197
189,199,198
190,200,199
191,201,200
192,202,201
193,203,202
194,204,205
195,205,106
196,206,204
197,207,206
198,208,207
199,209,208
200,210,209
201,211,210
202,212,211
203,213,214
204,214,103
205,215,213
206,216,215
207,217,216
208,218,217
209,219,218
210,220,219
211,221,220
212,222,221
213,223,222
214,224,223
215,225,224
216,226,225
217,227,226
218,228,227
219,229,228
220,230,229
221,231,232
222,233,218
223,234,233
224,235,234
225,236,235
226,237,236
227,238,239
228,239,74
229,240,238
230,241,240
231,242,241
232,243,242
233,244,243
234,245,244
235,246,245
236,247,246
237,248,247
238,249,248
239,250,249
240,251,252
241,252,253
242,253,72
243,254,164
244,255,254
245,256,257
246,257,70
247,258,256
248,259,31
249,260,259
250,261,28
251,262,223
252,263,264
253,265,266
254,267,265
255,268,267
256,269,268
257,270,269
258,271,270
259,272,271
260,273,160
261,274,273
262,275,274
263,276,275
264,277,278
265,278,63
266,279,277
267,280,279
268,281,280
269,282,281
270,283,12
271,284,283
272,285,284
273,286,285
274,287,286
275,288,287
276,289,161
277,290,13
278,291,290
279,292,293
280,294,292
281,295,294
282,296,295
283,297,219
284,298,297
285,299,298
286,300,299
287,301,20
288,302,301
289,303,304
290,305,68
291,304,305
292,306,303
293,307,306
294,308,307
295,309,116
296,310,309
297,311,312
298,312,313
299,313,314
300,315,311
301,316,315
302,317,316
303,318,317
304,319,318
305,320,209
306,321,158
307,322,321
308,323,216
309,324,325
310,325,45
311,326,324
312,327,326
313,328,327
314,329,330
315,331,329
316,332,331
317,333,332
318,334,333
319,335,334
320,336,335
321,337,199
322,338,337
323,339,340
324,341,166
325,342,343
326,343,95
327,344,342
328,345,344
329,346,345
330,347,346
331,348,349
332,350,348
333,351,352
334,352,57
335,353,351
336,354,353
337,355,354
338,356,357
339,357,358
340,358,61
341,359,356
342,360,359
343,361,360
344,362,240
345,363,364
346,365,363
347,366,365
348,367,366
349,368,367
350,369,368
351,370,369
352,371,370
353,372,373
354,373,65
355,374,372
356,375,374
357,376,375
358,377,376
359,378,377
360,379,378
361,380,379
362,381,382
363,382,54
364,383,381
365,384,383
366,385,384
367,386,385
368,387,386
369,388,387
370,389,390
371,391,389
372,392,391
373,393,394
374,394,43
375,395,393
376,396,395
377,397,396
378,398,399
379,399,400
380,401,397
381,400,401
382,402,398
383,403,402
384,404,405
385,406,407
386,408,409
387,410,411
388,412,413
389,413,41
390,414,412
391,415,414
392,416,412
393,417,395
394,418,417
395,419,397
396,420,419
397,421,420
398,422,421
399,423,398
400,424,423
401,425,396
402,426,425
403,427,426
404,428,427
405,429,428
406,430,429
407,431,427
408,432,431
409,433,426
410,434,425
411,435,434
412,436,393
413,437,436
414,438,437
415,439,436
416,440,441
417,441,44
418,442,443
419,444,47
420,443,444
421,445,446
422,446,46
423,447,445
424,448,447
425,449,445
426,450,451
427,451,48
428,452,450
429,453,452
430,454,450
431,455,454
432,456,452
433,457,458
434,458,52
435,459,460
436,460,55
437,461,383
438,462,384
439,463,464
440,464,462
441,465,463
442,466,465
443,467,385
444,468,386
445,469,468
446,470,469
447,471,470
448,472,387
449,473,472
450,474,472
451,475,476
452,477,475
453,478,475
454,479,391
455,480,389
456,481,480
457,482,381
458,483,482
459,484,483
460,485,484
461,486,485
462,487,486
463,488,487
464,489,488
465,490,489
466,491,490
467,492,482
468,493,483
469,494,484
470,495,494
471,496,494
472,497,496
473,498,486
474,499,487
475,500,499
476,501,488
477,502,501
478,503,502
479,504,505
480,506,489
481,505,506
482,507,490
483,508,485
484,509,351
485,510,353
486,511,510
487,512,354
488,513,514
489,514,58
490,515,59
491,516,515
492,517,359
493,518,517
494,519,360
495,520,519
496,521,356
497,522,521
498,523,524
499,524,62
500,525,526
501,527,64
502,526,527
503,528,525
504,529,528
505,530,525
506,531,528
507,532,374
508,533,375
509,534,376
510,535,534
511,536,535
512,537,534
513,538,537
514,539,535
515,540,377
516,541,540
517,542,541
518,543,544
519,545,542
520,544,545
521,546,543
522,547,546
523,548,547
524,549,540
525,550,549
526,551,379
527,552,551
528,553,552
529,554,551
530,555,556
531,557,555
532,558,559
533,560,378
534,561,560
535,562,372
