"pointid","xcoord","ycoord"
1,1689868.0204,480029.505122663
2,1689626.6363,478839.566222667
3,1767032.1623,662769.965522659
4,1766955.6637,664829.959222665
5,1716821.4254,667395.484822661
6,1714519.7468,667471.981922665
7,1714491.503,667385.734722666
8,1717356.7292,667173.95582266
9,1717873.9714,666604.793122667
10,1720234.0452,664691.084022661
11,1721782.9662,667104.375322663
12,1722761.3592,667031.690822671
13,1724248.1257,671423.804422665
14,1724053.0345,668146.272622656
15,1723846.8562,668028.791122662
16,1724052.4851,668149.238022666
17,1725076.6356,671293.574122667
18,1726097.4696,670941.737622668
19,1726559.7143,671287.701622663
20,1727515.7766,674860.452822663
21,1729405.2461,675951.486822662
22,1729499.4996,675995.740522663
23,1730116.0247,675907.440822671
24,1729664.3394,675857.836822665
25,1729832.2865,679325.711422665
26,1730324.0759,675993.828922664
27,1729666.5625,675867.126822668
28,1717052.1918,668700.698922662
29,1717394.1145,671106.025322665
30,1717663.5532,671438.906622663
31,1718847.5497,672868.885322668
32,1718454.658,672612.059322667
33,1721975.2321,677153.260922672
34,1721393.449,674281.884022664
35,1721151.1527,674038.13672266
36,1722676.158,679463.648822665
37,1725860.8916,681689.943722668
38,1726327.1203,681698.236322659
39,1725676.7591,640462.373822662
40,1726930.498,640652.733422665
41,1725243.4947,640813.739722664
42,1724690.4982,642388.741722658
43,1722835.5006,643417.740722659
44,1723038.4954,643830.731622663
45,1722835.4955,645209.734322668
46,1717403.4969,649689.740422664
47,1718551.5045,648667.737322666
48,1717263.4999,650235.742622661
49,1717977.4957,650375.733722661
50,1718509.4969,653833.740522663
51,1718887.5014,652909.743822667
52,1718194.5048,651488.735922667
53,1718075.4988,655737.734822662
54,1716773.4958,657375.740022667
55,1717907.4982,656255.73632266
56,1717053.4991,659027.741722663
57,1715513.5012,660763.735022664
58,1715499.4953,661799.733022668
59,1715583.5017,664585.73622267
60,1715863.501,663773.742922663
61,1712342.497,667546.735222665
62,1710613.4963,668113.737622667
63,1710851.4945,672075.736822666
64,1710179.4974,672425.738022667
65,1708639.5038,673055.735422659
66,1708163.503,675113.738722663
67,1706315.496,675309.739322659
68,1706035.4983,675477.738222672
69,1704215.4998,674917.736722666
70,1702395.5037,676961.733422664
71,1699609.5023,675953.731022671
72,1700449.4965,676345.735822666
73,1701709.4949,675715.736422667
74,1698951.494,674609.742922659
75,1698783.5005,674595.735322663
76,1697481.5021,675407.74142266
77,1695521.5036,675211.736522663
78,1695717.4945,676485.735922663
79,1694149.503,677913.744922658
80,1694163.4975,679579.734422665
81,1692630.5011,682582.73862266
82,1690852.4984,683982.730222663
83,1691839.4985,682771.739822662
84,1688957.2235,687242.812622666
85,1690821.8653,684011.192822672
86,1688978.1508,687792.498122661
87,1688798.5798,688819.35132266
88,1688711.3107,688698.919922664
89,1688898.5974,690065.150922664
90,1689014.1053,692260.327622666
91,1688594.0737,693732.089522664
92,1687683.1371,695543.681322661
93,1687354.7761,695743.829422659
94,1689193.498,683485.736922663
95,1687339.9493,684982.744022666
96,1686755.6168,686066.571322665
97,1687278.0754,684990.741822661
98,1686757.5869,686075.583422667
99,1686127.4968,687461.737622659
100,1684405.4976,688203.742522658
101,1684573.7562,687783.604222668
102,1685343.5018,687615.737522664
103,1678245.5013,692977.743222664
104,1679617.4996,690485.735722664
105,1678280.4981,693040.736522659
106,1679379.4982,695763.740722665
107,1681554.7502,694931.390522665
108,1681461.082,694934.312422669
109,1681390.4788,694864.624422664
110,1697132.9188,703991.612022665
111,1697128.0379,703909.250822661
112,1697699.2132,706029.281422662
113,1697790.7618,705735.124422662
114,1695899.3274,707234.344522664
115,1696138.0893,707392.542122661
116,1696691.1387,707799.189322662
117,1696815.3059,707984.214722662
118,1696903.6984,708074.742822666
119,1697115.0997,708158.649522662
120,1697720.9953,708293.969922662
121,1698130.9139,708461.52532266
122,1698257.6913,709873.994222666
123,1698603.5323,709969.583922666
124,1699176.4357,710136.827422659
125,1699959.2884,709850.236922662
126,1700302.8236,709203.398522661
127,1700810.515,709164.710522666
128,1701709.1492,709100.562222664
129,1702191.7182,709116.532622663
130,1702595.5615,709230.287022662
131,1702709.3797,709334.339122662
132,1702976.5981,709504.08712267
133,1703152.7436,709711.170822662
134,1703287.1699,709943.047622664
135,1703852.776,710444.161922661
136,1705039.7395,710339.46702267
137,1706028.5698,710832.778922663
138,1706124.9582,711200.319222661
139,1706538.0656,711620.192022669
140,1706662.5332,711734.478922669
