"Site.ID","Mu_intercept","Mu_prec.conc","Mu_temp.conc","Mu_prec.lag","Mu_temp.lag","Sig_intercept","Sig_prec.conc","Sig_temp.conc","Sig_prec.lag","Sig_temp.lag","Nu_intercept","Nu_prec.conc","Nu_temp.conc"
"01010000",10.6218774159339,0,0.209540602671999,0,0,-0.407056168427305,0,0,0,0,0,0,0
"01105000",3.52008739020992,0.0143596414130302,0,0.00520530646542916,0,-1.03157059026557,0,0,0,0,0,0,0
"01163200",3.7069466740627,0.0146684394352133,0,0.00531739480258176,0,-0.979002685031996,0,0,0,0,0,0,0
"01306495",2.77178296879983,0.00585499936196323,0,0,0,-1.43272040601388,0,0,0,0,0,0,0
"01387000",-1.19924350104895,0.0314170933888048,0,0.0291246780169335,0,0.116571686781583,0,0,0,0,0,0,0
"01429500",5.41522330222691,0.0175979231194698,0,0,0,-0.914104031829057,0,0,0,0,0,0,0
"01473169",4.42814387087553,0.0120075931892952,0,0,0,7.28849387199552,-0.0127578710445403,0,0,-0.555989711493984,0,0,0
"01534500",5.62361768488079,0.0155100414118326,0,0,0,-0.92052054741011,0,0,0,0,0,0,0
"01580000",5.81895351610385,0.0126359854735437,-0.138405052703652,0,0,0.173350567206516,-0.00943357625478612,0,0,0,0,0,0
"01633000",5.19074329528219,0.0331840579013355,0,0.0106954528138222,0,-0.504636639574696,0,0,0,0,0,0,0
"02018500",4.18116952206819,0.0221957599822274,0,0,0,0.40254388104781,0,0,-0.00829687833673415,0,0,0,0
"02073000",6.38269251087129,0.0134099717354397,0,0,0,-0.877099027130698,0,0,0,0,0,0,0
"02109500",4.90311646640869,0.023277634612727,0,0.00646444181314359,0,-0.764411912972302,0,0,0,0,0,0,0
"02162093",3.69934533439701,0.0109759786606421,0,0,0,-0.834175464621605,0,0,0,0,0,0,0
"02227500",4.32139120689765,0.0270243675065812,0,0.0130237374491496,0,-0.390438537159283,0,0,0,0,0,0,0
"02292900",6.64614928927846,0.0165617688255536,0,0.00725286737060232,0,0.298953300490196,-0.0175895814038391,0,0,0,0,0,0
"02314500",4.58251412999353,0.0230938633766188,0,0.00968041192136807,0,0.481786232479261,-0.00981819044432187,0,0,0,0,0,0
"02358700",9.47978391888819,0.0108195229797168,0,0.00296771346811499,0,-0.116596324855092,-0.00928620110339225,0,0,0,0,0,0
"02423380",6.24958100631911,0.0134427609357017,0,0,0,-0.951185160793494,0,0,0,0,0,0,0
"02479130",7.41917179348276,0.00789110133332547,0,0,0,-0.716578802148434,0,0,0,0,0,0,0
"03054500",8.99669798963741,0.00743596538715035,0,0,0,-1.25456358705616,0,0,0,0,0,0,0
"03159540",7.10362683855015,0.00939020649482383,0,0,0,-0.993873208021439,0,0,0,0,0,0,0
"03237500",8.0415391821859,0.0128754212376476,0,0,0,-0.841514315773954,0,0,0,0,0,0,0
"03302800",6.63729525070846,0.0209531203438581,0,0,0,-0.823369213853387,0,0,0,0,0,0,0
"03353637",2.7615378976557,0.0313691331798204,0,0.00704644554520517,0,-0.885407137995417,0,0,0,0,0,0,0
"03453500",8.21649897248089,0.0110285367364044,-0.0560356105317113,0,0,-0.730883978258778,0,-0.160442586108519,0,0,0,0,0
"04037500",4.59992388718434,0.0104166918211369,0.0536639264128369,0,0,-0.568824659312995,0,0,-0.0118597034589547,0,0,0,0
"04099510",3.51747981816813,0.0242141806226016,0,0.00953480564927386,0,0.66544234225658,0,0,-0.0191304934942625,0,0,0,0
"04163400",3.4981606392671,0.029442763533563,0,0,0,-0.645087481990582,0,0,0,0,0,0,0
"04221000",6.49448525484248,0.0268840050992393,0,0,0,-0.689298006709467,0,0,0,0,0,0,0
"04288000",5.83508300334448,0.0181335969776975,0,0,0,-0.542867557055861,0,0,0,0,0,0,0
"05116500",4.71664140366199,0,0.298921262677418,0.0556627639234024,0,0.322339322740112,0,0,0,0,-3.16406758833742,0,0
"05357215",2.8347638714218,0.00692219684532762,0.0364987478390349,0,0,-0.440163557828919,0,0,-0.014909127670453,0,0,0,0
"05438283",3.67208744858746,0,0,0,0,0.938774190521691,0,0,-0.0100196116275479,0,0,0,0
"05483600",3.10353421202099,0.054493134528877,-0.127650038562818,0.020379096916928,0,-0.924489917217094,0,-0.136208413659126,0,0,0,0,0
"05535500",3.38472660607809,0.0283262787246442,0,0,0,-0.408221535266021,0,0,0,0,0,0,0
"05588000",4.88348595649798,0.0245027659497811,0,0,0,1.5147010118927,-0.012138660757133,0,-0.015219367967956,0,0,0,0
"06174500",4.54842415258865,0.208419984112558,0.171901496384601,0.0364522100530463,0,-1.1936960239512,0.0814291562437896,0,0,0,0,0,0
"06337000",7.0103600833488,0,0,0,0,0.540260978940405,0,0,0,0,-4.29045944075204,0,0
"06437000",2.32897494895925,0.124570332126791,0,0.0500237296270612,0,-0.0247996825293626,0,0,0,0,0,0,0
"06609500",4.0654002171446,0.0665980207772127,-0.161551018972314,0.0154188042264454,0,-0.905421303433023,0,-0.151697278062967,0,0,0,0,0
"06801000",8.64869019330538,0.0472472735602868,0,0,0,-0.686677534195984,0,0,0,0,0,0,0
"06868200",8.89965246486171,0,0,0.0311831336888642,-0.421560061528111,0.318384493619942,0,0,0,0,0,0,0
"06913500",4.99656450684442,0.054234334299033,-0.117894890703134,0.0127635014970136,0,0.965824295400669,0,0,-0.0157189525269307,0,0,0,0
"07072500",7.57687049369236,0.0216166325419762,0,0.00750079248992121,0,-0.996385682149879,0,0,0,0,0,0,0
"07145700",3.04505858492807,0.0638354054054731,0,0.015355589252463,0,0.670930356540683,-0.0260191792610916,0,0,0,0,0,0
"07195500",4.77159008637848,0.0384810871412817,0,0.010334272144335,0,-0.401137324141647,0,0,0,0,0,0,0
"07289350",7.85187216312822,0.0125472178185422,0,0,0,0.151425310054257,0,0,-0.00851589007276165,0,0,0,0
"07341200",5.67923399660499,0.0245651771326068,0,0,0,-0.282797839732778,0,0,0,0,0,0,0
"08028000",5.1971403408551,0.0186212753610362,0,0.00605044857737207,0,-0.676502365293973,0,0,0,0,0,0,0
"08072300",6.06749623510399,0.00788279924291502,0,0,0,0.926131577847906,-0.0196629455677761,0,0,0,0,0,0
"08127000",0.836592073960841,0.04561165546032,0,0.0272807590440375,0,-0.115284176342958,0,0,0,0,-1.64222773525709,0,0
"08178565",5.27585002002479,0.0325361422056705,0,0,0,-0.688314553930179,0,0,0,0,0,0,0
"08287000",6.38451410240643,0,0,0,0,-0.170755596918064,0,0,0,0,0,0,0
"09025000",1.89661300707928,0,0,0,0,-0.700032920296656,0,0,0,0,0,0,0
"09163500",8.85051303940486,0.00702176081413246,0,0,-0.146833523718988,-1.44498761673669,0,0,0,0,0,0,0
"09326500",2.29118533857852,0.00642584979697656,0,0,0,-0.802088369793326,0,0,0,0,0,0,0
"09418500",1.90600086668834,0.0696478977230505,0,0,0,-0.0253733246993476,0,0,0,0,0,0,0
"09498503",-12.8798685656486,0.0316440569421926,0,0.030847404468038,0.814854245672138,-7.50652456394189,0,0,0,0.53093512853786,0,0,0
"10132500",1.92239522437348,0.0148930728417242,0,0,0,-0.314614204290688,0,0,0,0,0,0,0
"10270800",2.89209609428221,0.00401600150941536,0,0,0,-0.685720505438358,0,0,0,0,0,0,0
"10343000",2.21104938181233,0.00711522655873497,0.426930246150725,0.00852565542918779,0,-0.127520670657164,0,0,0,0,0,0,0
"11073360",5.34504102498444,0.00561821429504123,0,0,0,-0.823639461099793,0,0,0,0,0,0,0
"11162570",4.84002863027912,0.0126202076904596,0,0,0,-0.266564705558801,0,0,0,0,0,0,0
"11246570",5.00991806327373,0,0,0,0,0.64567569048273,0,0,-0.0400598225520828,0,-1.55059741241117,0,0
"11325500",4.56104678255273,0.00905879360606186,0,0.0110033596582057,0,-0.324139903557571,0,0,0,0,0,0,0
"11406920",7.60295969102545,0.00671876615390968,0,0.010086072718588,0,-5.33395448926821,0,0,0,0.301573912685907,0,0,0
"11446500",6.24932040133529,0.0104212703487208,0,0.0102700042378382,0,-0.414691407393568,0,0,0,0,0,0,0
"12013500",8.28040599957063,0.00143099408532419,0,0,0,0.242171853118849,-0.00402698991772377,0,0,0,0,0,0
"12143600",7.08673813032267,0.00280841589591107,0,0,0,-0.569891980191447,0,0,0,0,0,0,0
"12370000",5.71850246089235,0.00364359885065672,0.0730597022550333,0.00995502728514543,0,-1.02972853021744,0,0,0,0,0,0,0
"12502500",2.58333205976945,0.0219123090690689,0,0.0194399561125573,0,-0.263455404174928,0,0,0,0,0,0,0
